,Test,Total,Average
0,Linear Regression,0.1845865249633789,0.0615288416544596
1,K Nearest Neighbour,0.0018820762634277,0.0006273587544759
2,Linear Regression,0.0761744976043701,0.0253914992014567
3,K Nearest Neighbour,0.0017809867858886,0.0005936622619628
4,Linear Regression,0.0753731727600097,0.0251243909200032
5,K Nearest Neighbour,0.0036580562591552,0.001219352086385
6,Linear Regression,0.0595736503601074,0.0198578834533691
7,K Nearest Neighbour,0.0017163753509521,0.000572125116984
8,Linear Regression,0.0701487064361572,0.0233829021453857
9,K Nearest Neighbour,0.007631778717041,0.0025439262390136
10,Linear Regression,0.0831928253173828,0.0277309417724609
11,K Nearest Neighbour,0.0017337799072265,0.0005779266357421
12,Linear Regression,0.1510901451110839,0.0503633817036946
13,K Nearest Neighbour,0.014552354812622,0.0048507849375406
14,Linear Regression,0.2564141750335693,0.0854713916778564
15,K Nearest Neighbour,0.0017826557159423,0.0005942185719807
16,Linear Regression,0.5277345180511475,0.1759115060170491
17,K Nearest Neighbour,0.0019984245300292,0.0006661415100097
18,Linear Regression,1.0856177806854248,0.3618725935618083
19,K Nearest Neighbour,0.0019760131835937,0.0006586710611979
