Test,Test Number,Total,Average
Mean,0,9.098464012145996,3.0328213373819985
Sort,0,1.576209306716919,0.525403102238973
Merge,0,2.327028274536133,0.7756760915120443
Filter,0,0.9983048439025879,0.3327682813008626
All,0,3.724695920944214,1.2415653069814045
Mean,1,0.6551377773284912,0.21837925910949707
Sort,1,0.5386087894439697,0.1795362631479899
Merge,1,1.1346468925476074,0.37821563084920246
Filter,1,0.49478745460510254,0.16492915153503418
All,1,2.3820583820343018,0.7940194606781006
Mean,2,0.6635892391204834,0.22119641304016113
Sort,2,1.0368475914001465,0.34561586380004883
Merge,2,0.8213784694671631,0.273792823155721
Filter,2,0.826901912689209,0.275633970896403
All,2,2.5351805686950684,0.8450601895650228
Mean,3,0.6901249885559082,0.2300416628519694
Sort,3,0.8047618865966797,0.26825396219889325
Merge,3,0.8256752490997314,0.27522508303324383
Filter,3,0.7478930950164795,0.2492976983388265
All,3,3.0285189151763916,1.0095063050587971
Mean,4,0.9186656475067139,0.306221882502238
Sort,4,1.1067521572113037,0.36891738573710126
Merge,4,1.0374128818511963,0.34580429395039874
Filter,4,1.3461430072784424,0.4487143357594808
All,4,3.9292852878570557,1.3097617626190186
Mean,5,1.0552802085876465,0.3517600695292155
Sort,5,1.6377735137939453,0.5459245045979818
Merge,5,1.810567855834961,0.6035226186116537
Filter,5,1.5158014297485352,0.5052671432495117
All,5,6.256387948989868,2.0854626496632895
Mean,6,2.261190176010132,0.753730058670044
Sort,6,3.1515345573425293,1.0505115191141765
Merge,6,3.169586420059204,1.0565288066864014
Filter,6,2.234980821609497,0.7449936072031657
All,6,9.233336210250854,3.0777787367502847
Mean,7,2.8691608905792236,0.9563869635264078
Sort,7,5.154760837554932,1.7182536125183105
Merge,7,5.018434047698975,1.6728113492329915
Filter,7,3.3324854373931885,1.1108284791310628
All,7,15.890667915344238,5.296889305114746
Mean,8,5.247244596481323,1.7490815321604412
Sort,8,9.760393142700195,3.253464380900065
Merge,8,9.303669691085815,3.1012232303619385
Filter,8,6.0576560497283936,2.019218683242798
All,8,30.10478925704956,10.034929752349854
Mean,9,10.007474184036255,3.335824728012085
Sort,9,19.228711366653442,6.4095704555511475
Merge,9,18.695968866348267,6.231989622116089
Filter,9,11.267215728759766,3.7557385762532554
All,9,59.031320095062256,19.677106698354084
Mean,10,19.549484252929688,6.5164947509765625
Sort,10,39.109431982040405,13.036477327346802
Merge,10,37.23578429222107,12.411928097407023
Filter,10,22.092289447784424,7.364096482594808
All,10,116.94070553779602,38.98023517926534
Mean,11,38.09277820587158,12.697592735290527
Sort,11,78.59890341758728,26.199634472529095
Merge,11,74.51062273979187,24.83687424659729
Filter,11,43.346216917037964,14.448738972345987
All,11,235.5269787311554,78.50899291038513
