Test,Test Number,Total,Average
Linear Regression,0,15.8173542,5.272451401
K Nearest Neighbour,0,0,0
Linear Regression,1,5.626456738,1.875485579
K Nearest Neighbour,1,0,0
Linear Regression,2,5.836946964,1.945648988
K Nearest Neighbour,2,0,0
Linear Regression,3,8.34395051,2.781316837
K Nearest Neighbour,3,0,0
Linear Regression,4,12.84796953,4.282656511
K Nearest Neighbour,4,0,0
Linear Regression,5,22.75630832,7.585436106
K Nearest Neighbour,5,0,0
Linear Regression,6,40.19571924,13.39857308
K Nearest Neighbour,6,0,0
Linear Regression,7,77.64116859,25.88038953
K Nearest Neighbour,7,0,0
Linear Regression,8,153.4997079,51.16656931
K Nearest Neighbour,8,0,0
Linear Regression,9,306.3991599,102.1330533
K Nearest Neighbour,9,0,0
